,gene_name,ensembl_id
0,A1BG,ENSG00000121410
1,A1BG-AS1,ENSG00000268895
2,A1CF,ENSG00000148584
3,A2M,ENSG00000175899
4,A2M-AS1,ENSG00000245105
5,A2ML1,ENSG00000166535
6,A2ML1-AS2,ENSG00000256904
7,A4GALT,ENSG00000128274
8,A4GNT,ENSG00000118017
9,AAAS,ENSG00000094914
10,AACS,ENSG00000081760
11,AADAC,ENSG00000114771
12,AADACL2,ENSG00000197953
13,AADACL4,ENSG00000204518
14,AADAT,ENSG00000109576
15,AAED1,ENSG00000158122
16,AAGAB,ENSG00000103591
17,AAK1,ENSG00000115977
18,AAMDC,ENSG00000087884
19,AAMP,ENSG00000127837
20,AANAT,ENSG00000129673
21,AAR2,ENSG00000131043
22,AARD,ENSG00000205002
23,AARS,ENSG00000090861
24,AARS2,ENSG00000124608
25,AARSD1,ENSG00000266967
26,AASDH,ENSG00000157426
27,AASDHPPT,ENSG00000149313
28,AASS,ENSG00000008311
29,AATBC,ENSG00000215458
30,AATF,ENSG00000275700
31,AATK,ENSG00000181409
32,ABALON,ENSG00000281376
33,ABAT,ENSG00000183044
34,ABC12-49244600F4.4,ENSG00000276144
35,ABC7-42404400C24.1,ENSG00000277758
36,ABCA1,ENSG00000165029
37,ABCA10,ENSG00000154263
38,ABCA13,ENSG00000179869
39,ABCA2,ENSG00000107331
40,ABCA3,ENSG00000167972
41,ABCA4,ENSG00000198691
42,ABCA5,ENSG00000154265
43,ABCA6,ENSG00000154262
44,ABCA7,ENSG00000064687
45,ABCA8,ENSG00000141338
46,ABCA9,ENSG00000154258
47,ABCA9-AS1,ENSG00000231749
48,ABCB1,ENSG00000085563
49,ABCB10,ENSG00000135776
50,ABCB11,ENSG00000073734
51,ABCB4,ENSG00000005471
52,ABCB5,ENSG00000004846
53,ABCB6,ENSG00000115657
54,ABCB7,ENSG00000131269
55,ABCB8,ENSG00000197150
56,ABCB9,ENSG00000150967
57,ABCC1,ENSG00000103222
58,ABCC10,ENSG00000124574
59,ABCC11,ENSG00000121270
60,ABCC2,ENSG00000023839
61,ABCC3,ENSG00000108846
62,ABCC4,ENSG00000125257
63,ABCC5,ENSG00000114770
64,ABCC5-AS1,ENSG00000223882
65,ABCC6,ENSG00000091262
66,ABCC8,ENSG00000006071
67,ABCC9,ENSG00000069431
68,ABCD1,ENSG00000101986
69,ABCD2,ENSG00000173208
70,ABCD3,ENSG00000117528
71,ABCD4,ENSG00000119688
72,ABCE1,ENSG00000164163
73,ABCF1,ENSG00000204574
74,ABCF2,ENSG00000033050
75,ABCF3,ENSG00000161204
76,ABCG1,ENSG00000160179
77,ABCG2,ENSG00000118777
78,ABCG4,ENSG00000172350
79,ABCG8,ENSG00000143921
80,ABHD1,ENSG00000143994
81,ABHD10,ENSG00000144827
82,ABHD11,ENSG00000106077
83,ABHD11-AS1,ENSG00000225969
84,ABHD12,ENSG00000100997
85,ABHD12B,ENSG00000131969
86,ABHD13,ENSG00000139826
87,ABHD14A,ENSG00000248487
88,ABHD14A-ACY1,ENSG00000114786
89,ABHD14B,ENSG00000114779
90,ABHD15,ENSG00000168792
91,ABHD15-AS1,ENSG00000264031
92,ABHD16A,ENSG00000204427
93,ABHD16B,ENSG00000183260
94,ABHD17A,ENSG00000129968
95,ABHD17B,ENSG00000107362
96,ABHD17C,ENSG00000136379
97,ABHD18,ENSG00000164074
98,ABHD2,ENSG00000140526
99,ABHD3,ENSG00000158201
100,ABHD4,ENSG00000100439
101,ABHD5,ENSG00000011198
102,ABHD6,ENSG00000163686
103,ABHD8,ENSG00000127220
104,ABI1,ENSG00000136754
105,ABI2,ENSG00000138443
106,ABI3,ENSG00000108798
107,ABI3BP,ENSG00000154175
108,ABL1,ENSG00000097007
109,ABL2,ENSG00000143322
110,ABLIM1,ENSG00000099204
111,ABLIM2,ENSG00000163995
112,ABLIM3,ENSG00000173210
113,ABO,ENSG00000175164
114,ABR,ENSG00000159842
115,ABRA,ENSG00000174429
116,ABRACL,ENSG00000146386
117,ABT1,ENSG00000146109
118,ABTB1,ENSG00000114626
119,ABTB2,ENSG00000166016
120,AC000032.2,ENSG00000260246
121,AC000036.4,ENSG00000225929
122,AC000067.1,ENSG00000225007
123,AC000068.5,ENSG00000185065
124,AC000403.4,ENSG00000278727
125,AC001226.7,ENSG00000274898
126,AC002066.1,ENSG00000237813
127,AC002116.7,ENSG00000267698
128,AC002117.1,ENSG00000224505
129,AC002306.1,ENSG00000259242
130,AC002310.12,ENSG00000235560
131,AC002310.7,ENSG00000239791
132,AC002331.1,ENSG00000236481
